trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,10,-9.21866466923914,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,8,-126.1260886367269,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 2}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,6,-61.47216623179882,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,6,5.551246040139887,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-68.85764929275572,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,0,-28.76830512339415,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-13.543701129536334,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,14.787421310470164,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,11,23.30247962312116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,-88.82149954150547,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,2,-24.230396469399263,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,13,-59.078419691532034,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,4,-71.96575047302218,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,12,-42.660293632788864,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-60.79779971552249,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,-13.281422466916128,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,10,-10.939985076197553,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-56.02774717888236,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,9,23.68825375150991,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,11,-12.905781872105544,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,11,-3.5642750259268934,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,8,21.10406524284417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,-6.365836039982848,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,6,-30.90517951173417,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,13,10.331892216812532,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-17.47766699886671,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,12,-41.4605546151984,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",30,20,-27.947843307271988,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,20,5.609297986809073,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,-56.88665984016925,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,5,-1.9838100471998974,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,11,12.524875104025174,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,10,-35.986712853622905,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,3,-16.241053787341084,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,19.87192771105197,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,8,-31.22344473217016,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,17,13.755864784677462,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,6,16.632851030615697,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,7,-17.97175445856173,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,12,14.960626793498394,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,13,26.992153843215625,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,0,51.80401136563039,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,14,19.8883299937971,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,20,12.357148483443346,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,14,14.129685125336039,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,3,21.215536765393253,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,15,19.50244285320278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",30,18,24.186606187702722,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,3,-17.476927170526718,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,12,12.843258670656198,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,16,6.639490467276231,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",30,8,24.447857937830108,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,17,16.964170158395664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",30,17,9.343897410929156,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,23.923971391938203,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,17.706934618602602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,15.958068257536354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,20.802043768305605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,19.556757922446796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,21.296281979385984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,15.848226664236133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,14.94052776092014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,17.675449087359944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,7.875964476629823,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
